[2013-08-28 00:26:07] zalivakp, joining. (#ios-driver)
[2013-08-28 01:27:38] jlipps, quitting. (Quit: Leaving.)
[2013-08-28 01:54:03] ddary, joining. (#ios-driver)
[2013-08-28 02:16:02] admc, quitting. (Quit: Leaving.)
[2013-08-28 02:21:00] jlipps, joining. (#ios-driver)
[2013-08-28 02:23:32] santiycr, joining. (#ios-driver)
[2013-08-28 02:28:18] operatiay, joining. (#ios-driver)
[2013-08-28 02:28:26] operatiay, quitting. (Remote host closed the connection)
[2013-08-28 02:28:58] operatiay, joining. (#ios-driver)
[2013-08-28 04:30:32] freynaud: nicegraham: Hi
[2013-08-28 04:46:52] santiycr, quitting. (Quit: Leaving.)
[2013-08-28 04:48:38] operatiay, quitting. (Ping timeout: 256 seconds)
[2013-08-28 06:03:51] santiycr, joining. (#ios-driver)
[2013-08-28 08:07:08] ddary, quitting. (Quit: ddary)
[2013-08-28 08:11:28] nirvdrum, joining. (#ios-driver)
[2013-08-28 08:27:53] lukeis, joining. (#ios-driver)
[2013-08-28 08:29:33] bob__, joining. (#ios-driver)
[2013-08-28 08:38:48] operatiay, joining. (#ios-driver)
[2013-08-28 08:39:07] operatiay, quitting. (Remote host closed the connection)
[2013-08-28 08:39:43] operatiay, joining. (#ios-driver)
[2013-08-28 08:40:59] santiycr, quitting. (Quit: Leaving.)
[2013-08-28 08:41:14] jlipps, quitting. (Quit: Leaving.)
[2013-08-28 08:52:56] jlipps, joining. (#ios-driver)
[2013-08-28 08:55:19] smccarthy, joining. (#ios-driver)
[2013-08-28 08:56:29] santiycr, joining. (#ios-driver)
[2013-08-28 09:27:45] zalivakp, quitting. (Ping timeout: 250 seconds)
[2013-08-28 09:28:28] santiycr, quitting. (Quit: Leaving.)
[2013-08-28 09:41:19] operatia_, joining. (#ios-driver)
[2013-08-28 09:45:00] operatiay, quitting. (Ping timeout: 256 seconds)
[2013-08-28 09:52:42] santiycr, joining. (#ios-driver)
[2013-08-28 09:57:45] bob__, quitting. (Remote host closed the connection)
[2013-08-28 10:07:26] lukeis1, joining. (#ios-driver)
[2013-08-28 10:07:26] lukeis, quitting. (Read error: Connection reset by peer)
[2013-08-28 10:07:30] lukeis1, quitting. (Client Quit)
[2013-08-28 10:19:28] bob__, joining. (#ios-driver)
[2013-08-28 10:41:57] bob__, quitting. (Remote host closed the connection)
[2013-08-28 10:43:37] ios-driver-git, joining. (#ios-driver)
[2013-08-28 10:43:37] ios-driver-git: [ios-driver] nicegraham pushed 1 new commit to dev: http://git.io/-tjPug
[2013-08-28 10:43:37] ios-driver-git: ios-driver/dev bfe42c0 Graham Abell: Merge branch 'libimobilewrapper' into dev
[2013-08-28 10:43:37] ios-driver-git, leaving. (#ios-driver)
[2013-08-28 10:46:31] admc, joining. (#ios-driver)
[2013-08-28 10:57:56] bob__, joining. (#ios-driver)
[2013-08-28 10:58:08] nirvdrum_, joining. (#ios-driver)
[2013-08-28 11:02:04] nirvdrum, quitting. (Ping timeout: 256 seconds)
[2013-08-28 11:17:23] lukeis, joining. (#ios-driver)
[2013-08-28 11:28:27] nirvdrum_, quitting. (Remote host closed the connection)
[2013-08-28 11:29:01] nirvdrum, joining. (#ios-driver)
[2013-08-28 11:54:12] santiycr, quitting. (Quit: Leaving.)
[2013-08-28 11:56:47] ios-driver-git, joining. (#ios-driver)
[2013-08-28 11:56:47] ios-driver-git: [ios-driver] nicegraham tagged 0.6.3 at dev: http://git.io/Uxw-cQ
[2013-08-28 11:56:47] ios-driver-git, leaving. (#ios-driver)
[2013-08-28 12:08:29] ios-driver-git, joining. (#ios-driver)
[2013-08-28 12:08:30] ios-driver-git: [ios-driver] nicegraham pushed 1 new commit to dev: http://git.io/tje0gA
[2013-08-28 12:08:30] ios-driver-git: ios-driver/dev 4e7589b Graham Abell: updating version for next release
[2013-08-28 12:08:30] ios-driver-git, leaving. (#ios-driver)
[2013-08-28 12:10:25] ios-driver-git, joining. (#ios-driver)
[2013-08-28 12:10:25] ios-driver-git: [ios-driver] nicegraham merged dev into libimobilewrapper: http://git.io/XRAGdw
