[2013-12-06 00:27:29] ios-driverbot__, joining. (#ios-driver)
[2013-12-06 00:34:55] ios-driverbot_, quitting. (Ping timeout: 260 seconds)
[2013-12-06 00:42:57] admc1, quitting. (Quit: Leaving.)
[2013-12-06 02:01:36] elstfi, joining. (#ios-driver)
[2013-12-06 02:39:31] smccarthy, quitting. (Remote host closed the connection)
[2013-12-06 03:28:31] elstfi1, joining. (#ios-driver)
[2013-12-06 03:30:55] elstfi, quitting. (Ping timeout: 260 seconds)
[2013-12-06 03:57:26] elstfi1, quitting. (Quit: Leaving.)
[2013-12-06 04:19:51] elstfi, joining. (#ios-driver)
[2013-12-06 05:01:16] snyxius8, joining. (#ios-driver)
[2013-12-06 05:01:26] snyxius8, quitting. (Client Quit)
[2013-12-06 05:02:25] arun, joining. (#ios-driver)
[2013-12-06 05:04:16] arun: hi
[2013-12-06 05:05:42] arun, quitting. (Client Quit)
[2013-12-06 05:14:57] elstfi, quitting. (Quit: Leaving.)
[2013-12-06 05:34:44] elstfi, joining. (#ios-driver)
[2013-12-06 06:02:45] elstfi1, joining. (#ios-driver)
[2013-12-06 06:02:48] elstfi, quitting. (Read error: Connection reset by peer)
[2013-12-06 06:07:06] elstfi1, quitting. (Ping timeout: 250 seconds)
[2013-12-06 06:08:02] elstfi, joining. (#ios-driver)
[2013-12-06 07:10:40] elstfi, quitting. (Read error: Connection reset by peer)
[2013-12-06 07:58:15] nirvdrum, joining. (#ios-driver)
[2013-12-06 08:47:36] elstfi, joining. (#ios-driver)
[2013-12-06 09:12:11] elstfi, quitting. (Quit: Leaving.)
[2013-12-06 09:22:12] elstfi, joining. (#ios-driver)
[2013-12-06 09:29:35] joevans, joining. (#ios-driver)
[2013-12-06 09:35:20] lukeis, joining. (#ios-driver)
[2013-12-06 09:50:53] ios-driver-git, joining. (#ios-driver)
[2013-12-06 09:50:54] ios-driver-git: [ios-driver] rsalvador pushed 2 new commits to refactor: http://git.io/wdIigQ
[2013-12-06 09:50:54] ios-driver-git: ios-driver/refactor 0c9c987 rsalvador: Improve diagnostics.
[2013-12-06 09:50:54] ios-driver-git, leaving. (#ios-driver)
[2013-12-06 09:50:54] ios-driver-git: ios-driver/refactor c84df75 rsalvador: Make safari startup more robust on iOS 7....
[2013-12-06 10:23:53] smccarthy, joining. (#ios-driver)
[2013-12-06 10:51:30] elstfi, quitting. (Quit: Leaving.)
[2013-12-06 11:12:13] admc, joining. (#ios-driver)
[2013-12-06 11:16:11] smccarthy, quitting. (Ping timeout: 260 seconds)
[2013-12-06 11:16:21] admc, quitting. (Client Quit)
[2013-12-06 11:16:36] admc, joining. (#ios-driver)
[2013-12-06 11:24:25] smccarthy, joining. (#ios-driver)
[2013-12-06 11:34:46] santiycr, joining. (#ios-driver)
