[2014-03-11 02:18:20] arhaj, joining. (#ios-driver)
[2014-03-11 02:37:18] arhaj, quitting. (Ping timeout: 245 seconds)
[2014-03-11 06:46:24] nirvdrum, joining. (#ios-driver)
[2014-03-11 06:46:49] gdennis, joining. (#ios-driver)
[2014-03-11 07:55:28] nirvdrum_, joining. (#ios-driver)
[2014-03-11 08:26:27] lukeis, joining. (#ios-driver)
[2014-03-11 08:29:46] smccarthy, joining. (#ios-driver)
[2014-03-11 09:17:19] rsalvador, joining. (#ios-driver)
[2014-03-11 09:49:55] dgrace, quitting. (Quit: Connection closed for inactivity)
[2014-03-11 10:51:14] lukeis, quitting. (Quit: Leaving.)
[2014-03-11 10:57:26] rsalvador1, joining. (#ios-driver)
[2014-03-11 10:57:26] rsalvador, quitting. (Read error: Connection reset by peer)
[2014-03-11 11:02:48] lukeis, joining. (#ios-driver)
[2014-03-11 11:11:46] rsalvador, joining. (#ios-driver)
[2014-03-11 11:11:46] rsalvador1, quitting. (Read error: Connection reset by peer)
[2014-03-11 11:13:43] lukeis, quitting. (Quit: Leaving.)
[2014-03-11 11:27:48] dmarr, joining. (#ios-driver)
[2014-03-11 11:32:11] ios-driver-git, joining. (#ios-driver)
[2014-03-11 11:32:11] ios-driver-git: [ios-driver] rsalvador pushed 1 new commit to dev: http://git.io/qTO_hg
[2014-03-11 11:32:11] ios-driver-git: ios-driver/dev ad328a7 rsalvador: Initial support for iOS 7.1
[2014-03-11 11:32:11] ios-driver-git, leaving. (#ios-driver)
[2014-03-11 11:49:05] lukeis, joining. (#ios-driver)
[2014-03-11 12:15:56] stankobiz, joining. (#ios-driver)
[2014-03-11 12:24:02] stankobiz, quitting. (Remote host closed the connection)
[2014-03-11 12:30:49] lipchanskii, joining. (#ios-driver)
[2014-03-11 12:42:09] lipchanskii, quitting. (Remote host closed the connection)
[2014-03-11 12:59:27] santiycr, joining. (#ios-driver)
[2014-03-11 13:17:54] lukeis, quitting. (Quit: Leaving.)
