[2014-04-02 04:37:16] psp250, quitting. (Ping timeout: 265 seconds)
[2014-04-02 04:55:37] nirvdrum, joining. (#ios-driver)
[2014-04-02 08:19:28] lukeis, joining. (#ios-driver)
[2014-04-02 08:24:09] smccarthy, joining. (#ios-driver)
[2014-04-02 08:37:10] rsalvador, joining. (#ios-driver)
[2014-04-02 08:38:55] ios-driver-git, joining. (#ios-driver)
[2014-04-02 08:38:56] ios-driver-git: [ios-driver] progressnerd pushed 1 new commit to greg: http://git.io/Wtv_QA
[2014-04-02 08:38:56] ios-driver-git: ios-driver/greg 29aa96c Greg Dennis: Multiple changes to improve ios-driver when driving mobile Safari on a real device.
[2014-04-02 08:38:56] ios-driver-git, leaving. (#ios-driver)
[2014-04-02 08:40:12] ios-driver-git, joining. (#ios-driver)
[2014-04-02 08:40:12] ios-driver-git: [ios-driver] progressnerd opened pull request #237: Multiple changes to improve ios-driver when for Mobile Safari on a real device. (dev...greg) http://git.io/SIGpnw
[2014-04-02 08:40:12] ios-driver-git, leaving. (#ios-driver)
[2014-04-02 09:01:06] rsalvador, quitting. (Ping timeout: 255 seconds)
[2014-04-02 09:15:59] rsalvador, joining. (#ios-driver)
[2014-04-02 09:22:43] jlipps, joining. (#ios-driver)
[2014-04-02 09:48:13] psp250, joining. (#ios-driver)
[2014-04-02 10:29:12] lukeis1, joining. (#ios-driver)
[2014-04-02 10:35:33] rsalvador, quitting. (Quit: Leaving.)
[2014-04-02 10:37:04] rsalvador, joining. (#ios-driver)
[2014-04-02 10:38:18] psp250, quitting. (*.net *.split)
[2014-04-02 10:38:18] lukeis, quitting. (*.net *.split)
[2014-04-02 10:40:46] santiycr, joining. (#ios-driver)
[2014-04-02 10:45:32] psp250, joining. (#ios-driver)
[2014-04-02 10:51:49] santiycr, quitting. (Quit: Leaving.)
[2014-04-02 11:52:51] santiycr, joining. (#ios-driver)
[2014-04-02 11:54:26] jlipps1, joining. (#ios-driver)
[2014-04-02 11:56:27] jlipps, quitting. (Ping timeout: 252 seconds)
[2014-04-02 12:00:21] rsalvador, quitting. (Quit: Leaving.)
[2014-04-02 12:00:33] rsalvador, joining. (#ios-driver)
[2014-04-02 12:02:07] rsalvador1, joining. (#ios-driver)
[2014-04-02 12:02:16] rsalvador, quitting. (Client Quit)
