[2014-08-11 00:02:52] operatiay, quitting. (Ping timeout: 240 seconds)
[2014-08-11 00:54:03] operatiay, joining. (#ios-driver)
[2014-08-11 01:08:22] admc, joining. (#ios-driver)
[2014-08-11 01:21:02] admc, quitting. (Quit: Leaving.)
[2014-08-11 01:51:30] operatiay, quitting. (Remote host closed the connection)
[2014-08-11 02:04:01] operatiay, joining. (#ios-driver)
[2014-08-11 03:37:30] ios-driver-git, joining. (#ios-driver)
[2014-08-11 03:37:30] ios-driver-git: [ios-driver] freynaud pushed 1 new commit to dev: http://git.io/cDdhcA
[2014-08-11 03:37:30] ios-driver-git, leaving. (#ios-driver)
[2014-08-11 03:37:30] ios-driver-git: ios-driver/dev fb9cbb6 freynaud: installed SDK for real device are irrelevant
[2014-08-11 04:05:31] operatiay, quitting. (Remote host closed the connection)
[2014-08-11 04:56:05] santiycr, joining. (#ios-driver)
[2014-08-11 04:58:00] operatiay, joining. (#ios-driver)
[2014-08-11 05:31:07] operatiay, quitting. (Remote host closed the connection)
[2014-08-11 05:48:22] operatiay, joining. (#ios-driver)
[2014-08-11 06:53:25] rodrigomartin, joining. (#ios-driver)
[2014-08-11 08:12:48] operatiay, quitting. (Remote host closed the connection)
[2014-08-11 08:33:25] nirvdrum, joining. (#ios-driver)
[2014-08-11 08:39:39] smccarthy, joining. (#ios-driver)
[2014-08-11 08:41:20] smccarthy, quitting. (Remote host closed the connection)
[2014-08-11 08:41:55] smccarthy, joining. (#ios-driver)
[2014-08-11 08:42:17] smccarthy, quitting. (Read error: Connection reset by peer)
[2014-08-11 08:43:30] smccarthy, joining. (#ios-driver)
[2014-08-11 08:49:39] santiycr, quitting. (Quit: Leaving.)
[2014-08-11 08:50:01] santiycr, joining. (#ios-driver)
[2014-08-11 09:39:20] santiycr, quitting. (Quit: Leaving.)
[2014-08-11 09:59:15] operatiay, joining. (#ios-driver)
[2014-08-11 10:14:00] admc, joining. (#ios-driver)
[2014-08-11 10:14:49] operatiay, quitting. (Remote host closed the connection)
