[2014-09-12 00:20:15] seema, quitting. (Ping timeout: 246 seconds)
[2014-09-12 01:31:54] operatiay, joining. (#ios-driver)
[2014-09-12 02:16:46] operatiay, quitting. (Remote host closed the connection)
[2014-09-12 03:17:36] operatiay, joining. (#ios-driver)
[2014-09-12 03:51:12] operatiay, quitting. (Remote host closed the connection)
[2014-09-12 04:08:34] operatiay, joining. (#ios-driver)
[2014-09-12 05:19:14] Ragnaroek, joining. (#ios-driver)
[2014-09-12 06:10:45] sam177, joining. (#ios-driver)
[2014-09-12 06:23:08] ios-driver-git, joining. (#ios-driver)
[2014-09-12 06:23:08] ios-driver-git, leaving. (#ios-driver)
[2014-09-12 06:23:08] ios-driver-git: [ios-driver] iamleeg opened pull request #288: Fix uialert (mehdi/ios-8...fix-uialert) http://git.io/88rEFQ
[2014-09-12 06:24:05] rodrigomartin, joining. (#ios-driver)
[2014-09-12 06:25:28] elstif, joining. (#ios-driver)
