[2014-11-20 00:15:29] iamleeg, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-11-20 00:48:59] iamleeg, joining. (#ios-driver)
[2014-11-20 01:07:58] iamleeg, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-11-20 01:11:22] iamleeg, joining. (#ios-driver)
[2014-11-20 01:12:48] ios-driver-git, joining. (#ios-driver)
[2014-11-20 01:12:48] ios-driver-git: [ios-driver] w00cash closed pull request #320: Fix for missing CFBundelIcons (dev...feature-CFBundleImageFix) http://git.io/gDrXvQ
[2014-11-20 01:12:48] ios-driver-git, leaving. (#ios-driver)
[2014-11-20 01:20:07] tkriz, joining. (#ios-driver)
[2014-11-20 01:20:07] tkriz, joining. (#ios-driver)
[2014-11-20 01:20:07] tkriz, quitting. (Changing host)
[2014-11-20 01:20:17] iamleeg, quitting. (Ping timeout: 240 seconds)
[2014-11-20 01:25:58] iamleeg, joining. (#ios-driver)
[2014-11-20 01:48:41] iamleeg, quitting. (Ping timeout: 258 seconds)
[2014-11-20 02:05:32] iamleeg, joining. (#ios-driver)
[2014-11-20 02:35:17] iamleeg, quitting. (Ping timeout: 245 seconds)
[2014-11-20 03:28:30] iamleeg, joining. (#ios-driver)
[2014-11-20 04:58:48] nirvdrum, joining. (#ios-driver)
[2014-11-20 05:15:28] ios-driver-git, joining. (#ios-driver)
[2014-11-20 05:15:29] ios-driver-git: [ios-driver] kumaravel-jayakumar opened pull request #325: Removed the call to kill iOS Simulator (dev...erase-settings-fix) http://git.io/1YLt3A
[2014-11-20 05:15:29] ios-driver-git, leaving. (#ios-driver)
[2014-11-20 05:44:56] rodrigomartin, joining. (#ios-driver)
[2014-11-20 05:56:09] ios-driver-git, joining. (#ios-driver)
[2014-11-20 05:56:09] ios-driver-git: [ios-driver] abhijit1234 pushed 2 new commits to dev: http://git.io/DyzyAA
[2014-11-20 05:56:09] ios-driver-git: ios-driver/dev 9620468 Kumaravel Jayakumar: Removed the call to kill iOS Simulator, while shutting down device using 'xcrun simctl shutdown' command
[2014-11-20 05:56:09] ios-driver-git: ios-driver/dev 1cb879e abhijit1234: Merge pull request #325 from kumaravel-jayakumar/erase-settings-fix...
[2014-11-20 05:56:10] ios-driver-git, leaving. (#ios-driver)
[2014-11-20 07:47:52] smccarthy, joining. (#ios-driver)
[2014-11-20 09:04:46] psp250, joining. (#ios-driver)
[2014-11-20 09:46:01] iamleeg, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-11-20 09:49:22] tkriz, quitting. (Quit: Leaving.)
[2014-11-20 10:03:20] rodrigomartin1, joining. (#ios-driver)
[2014-11-20 10:04:44] rodrigomartin, quitting. (Ping timeout: 256 seconds)
[2014-11-20 10:19:16] iamleeg, joining. (#ios-driver)
[2014-11-20 10:22:50] iamleeg_, joining. (#ios-driver)
[2014-11-20 10:25:48] iamleeg, quitting. (Ping timeout: 244 seconds)
[2014-11-20 10:33:01] iamleeg_, quitting. (Quit: Textual IRC Client: www.textualapp.com)
[2014-11-20 10:39:45] jlipps, joining. (#ios-driver)
[2014-11-20 10:39:50] jlipps, leaving. (#ios-driver)
[2014-11-20 11:03:05] mach6__, joining. (#ios-driver)
[2014-11-20 11:26:41] rodrigomartin, joining. (#ios-driver)
[2014-11-20 11:27:25] rodrigomartin1, quitting. (Read error: Connection reset by peer)
