[2014-11-24 00:14:12] ios-driver-git, joining. (#ios-driver)
[2014-11-24 00:14:13] ios-driver-git: [ios-driver] mach6 pushed 1 new commit to dev: http://git.io/qW_2pA
[2014-11-24 00:14:13] ios-driver-git: ios-driver/dev c44cbc4 Bijoy Vijayachandran: simulator has higher application size for mobile safari, need to find safari to trigger it
[2014-11-24 00:14:13] ios-driver-git, leaving. (#ios-driver)
[2014-11-24 00:39:57] ios-driver-git, joining. (#ios-driver)
[2014-11-24 00:39:58] ios-driver-git: [ios-driver] mach6 pushed 1 new commit to dev: http://git.io/mGLzwA
[2014-11-24 00:39:58] ios-driver-git, leaving. (#ios-driver)
[2014-11-24 00:39:58] ios-driver-git: ios-driver/dev 5d3e7a7 Alex Zaytsev: Correct exception which can ocurr when specifying alternate SDK version via...
[2014-11-24 00:40:38] ios-driver-git, joining. (#ios-driver)
[2014-11-24 00:40:38] ios-driver-git: [ios-driver] mach6 closed pull request #327: -Fixing an issue where a ClassCastException occurs when deviceCapability... (dev...azaytsev_classcast_exception_fix) http://git.io/zscNJA
[2014-11-24 00:40:38] ios-driver-git, leaving. (#ios-driver)
[2014-11-24 01:29:29] tkriz, joining. (#ios-driver)
[2014-11-24 01:29:30] tkriz, quitting. (Changing host)
[2014-11-24 01:29:30] tkriz, joining. (#ios-driver)
[2014-11-24 02:45:16] rodrigomartin, joining. (#ios-driver)
[2014-11-24 03:46:03] tkriz1, joining. (#ios-driver)
[2014-11-24 03:46:04] tkriz1, quitting. (Changing host)
[2014-11-24 03:46:04] tkriz1, joining. (#ios-driver)
[2014-11-24 03:48:52] tkriz, quitting. (Ping timeout: 240 seconds)
[2014-11-24 04:56:12] tkriz1, quitting. (Quit: Leaving.)
[2014-11-24 04:57:43] tkriz, joining. (#ios-driver)
[2014-11-24 04:57:44] tkriz, quitting. (Changing host)
[2014-11-24 04:57:44] tkriz, joining. (#ios-driver)
[2014-11-24 05:24:23] nicegraham_____, quitting. (Read error: Connection reset by peer)
[2014-11-24 05:25:13] nicegraham______, joining. (#ios-driver)
[2014-11-24 05:49:19] nirvdrum, joining. (#ios-driver)
[2014-11-24 07:43:29] smccarthy, joining. (#ios-driver)
[2014-11-24 08:07:41] nirvdrum, quitting. (Ping timeout: 255 seconds)
[2014-11-24 08:08:41] nirvdrum, joining. (#ios-driver)
[2014-11-24 08:10:00] nirvdrum, quitting. (Remote host closed the connection)
[2014-11-24 09:43:47] nirvdrum, joining. (#ios-driver)
[2014-11-24 10:31:52] tkriz, quitting. (Ping timeout: 240 seconds)
[2014-11-24 11:15:04] tkriz, joining. (#ios-driver)
[2014-11-24 11:15:04] tkriz, quitting. (Changing host)
[2014-11-24 11:15:04] tkriz, joining. (#ios-driver)
[2014-11-24 11:15:21] tkriz, quitting. (Client Quit)
[2014-11-24 11:17:31] rodrigomartin, quitting. (Ping timeout: 258 seconds)
[2014-11-24 11:32:31] rodrigomartin, joining. (#ios-driver)
[2014-11-24 11:32:54] tkriz, joining. (#ios-driver)
[2014-11-24 11:32:54] tkriz, quitting. (Changing host)
[2014-11-24 11:32:54] tkriz, joining. (#ios-driver)
[2014-11-24 11:35:37] tkriz, quitting. (Client Quit)
[2014-11-24 11:37:18] rodrigomartin, quitting. (Ping timeout: 265 seconds)
[2014-11-24 11:38:04] rodrigomartin, joining. (#ios-driver)
[2014-11-24 15:06:38] smccarthy, quitting. (Quit: Leaving...)
[2014-11-24 15:18:53] rodrigomartin, quitting. (Ping timeout: 272 seconds)
