[2014-11-28 01:58:37] tkriz, quitting. (Ping timeout: 240 seconds)
[2014-11-28 02:28:57] tkriz, joining. (#ios-driver)
[2014-11-28 02:28:58] tkriz, quitting. (Changing host)
[2014-11-28 02:28:58] tkriz, joining. (#ios-driver)
[2014-11-28 03:10:16] ios-driver-git, joining. (#ios-driver)
[2014-11-28 03:10:16] ios-driver-git: [ios-driver] mmmulani pushed 1 new commit to dev: http://git.io/h1crzw
[2014-11-28 03:10:16] ios-driver-git, leaving. (#ios-driver)
[2014-11-28 03:10:16] ios-driver-git: ios-driver/dev 97ba590 Mehdi Mulani: Wipe 'system.log' under Xcode 6 when cleaning simulator.
[2014-11-28 05:26:54] rodrigomartin, joining. (#ios-driver)
[2014-11-28 05:31:18] rodrigomartin, quitting. (Ping timeout: 265 seconds)
[2014-11-28 05:31:54] rodrigomartin, joining. (#ios-driver)
[2014-11-28 05:48:16] rodrigomartin, quitting. (Read error: Connection timed out)
[2014-11-28 05:50:20] rodrigomartin, joining. (#ios-driver)
[2014-11-28 06:29:36] rodrigomartin, quitting. (Ping timeout: 258 seconds)
[2014-11-28 06:30:39] rodrigomartin, joining. (#ios-driver)
[2014-11-28 06:33:48] rodrigomartin1, joining. (#ios-driver)
[2014-11-28 06:35:06] rodrigomartin, quitting. (Ping timeout: 265 seconds)
[2014-11-28 06:50:16] rodrigomartin1, quitting. (Read error: Connection timed out)
[2014-11-28 06:50:40] smccarthy, joining. (#ios-driver)
[2014-11-28 06:52:12] rodrigomartin, joining. (#ios-driver)
[2014-11-28 06:56:51] rodrigomartin, quitting. (Ping timeout: 265 seconds)
[2014-11-28 06:57:57] rodrigomartin, joining. (#ios-driver)
[2014-11-28 07:08:41] rodrigomartin1, joining. (#ios-driver)
[2014-11-28 07:10:45] rodrigomartin, quitting. (Ping timeout: 272 seconds)
[2014-11-28 07:24:42] rodrigomartin1, quitting. (Read error: Connection timed out)
[2014-11-28 07:27:14] rodrigomartin, joining. (#ios-driver)
[2014-11-28 07:31:41] rodrigomartin, quitting. (Ping timeout: 264 seconds)
[2014-11-28 07:32:47] rodrigomartin, joining. (#ios-driver)
[2014-11-28 07:49:58] rodrigomartin, quitting. (Read error: Connection timed out)
[2014-11-28 07:51:13] rodrigomartin, joining. (#ios-driver)
[2014-11-28 07:56:22] tkriz, quitting. (Ping timeout: 240 seconds)
[2014-11-28 08:18:37] rodrigomartin1, joining. (#ios-driver)
[2014-11-28 08:20:48] rodrigomartin, quitting. (Ping timeout: 256 seconds)
[2014-11-28 08:22:37] rodrigomartin1, quitting. (Ping timeout: 240 seconds)
[2014-11-28 08:57:10] rodrigomartin, joining. (#ios-driver)
[2014-11-28 08:59:10] rodrigomartin1, joining. (#ios-driver)
[2014-11-28 09:03:06] rodrigomartin, quitting. (Ping timeout: 250 seconds)
[2014-11-28 09:03:17] rodrigomartin1, quitting. (Ping timeout: 240 seconds)
[2014-11-28 09:14:35] rodrigomartin, joining. (#ios-driver)
[2014-11-28 10:03:49] ddary, joining. (#ios-driver)
[2014-11-28 10:30:15] ddary, leaving. (#ios-driver)
[2014-11-28 11:21:16] smccarthy, quitting. (Quit: Leaving...)
[2014-11-28 13:53:04] rodrigomartin, quitting. (Remote host closed the connection)
[2014-11-28 16:11:37] nirvdrum, joining. (#ios-driver)
[2014-11-28 19:41:34] smccarthy, joining. (#ios-driver)
[2014-11-28 21:33:21] smccarthy, quitting. (Quit: Leaving...)
[2014-11-28 21:50:53] rlux, joining. (#ios-driver)
[2014-11-28 21:56:08] rlux, quitting. ()
